card_name,appearances,wins,win_rate
Abhorrent Oculus,60,28,0.4666666666666667
Abrade,492,227,0.4613821138211382
Abuelo's Awakening,3236,1568,0.484548825710754
Adarkar Wastes,2473,1211,0.48968863728265266
Agatha's Soul Cauldron,254,122,0.48031496062992124
Ambrosia Whiteheart,16,3,0.1875
Analyze the Pollen,116,30,0.25862068965517243
Anoint with Affliction,60,24,0.4
Archfiend of the Dross,78,27,0.34615384615384615
Astrologian's Planisphere,194,76,0.3917525773195876
"Atraxa, Grand Unifier",16,6,0.375
Authority of the Consuls,96,61,0.6354166666666666
Azure Beastbinder,218,102,0.46788990825688076
Bandit's Talent,26,12,0.46153846153846156
Bartolomé del Presidio,21,6,0.2857142857142857
Battlefield Forge,240,93,0.3875
Beastie Beatdown,8,2,0.25
"Beza, the Bounding Spring",654,303,0.463302752293578
Bitter Triumph,48,18,0.375
Blackcleave Cliffs,280,106,0.37857142857142856
Blast Zone,126,66,0.5238095238095238
Blazemire Verge,62,26,0.41935483870967744
Bleachbone Verge,356,108,0.30337078651685395
Bloodletter of Aclazotz,64,0,0.0
Blooming Marsh,793,363,0.45775535939470363
Botanical Sanctum,56,0,0.0
Braided Net // Braided Quipu,12,2,0.16666666666666666
Break Out,120,52,0.43333333333333335
Brightglass Gearhulk,64,36,0.5625
Brushland,102,52,0.5098039215686274
Builder's Talent,80,24,0.3
Burst Lightning,2035,985,0.48402948402948404
Bushwhack,162,49,0.30246913580246915
Cache Grab,357,141,0.3949579831932773
Cankerbloom,80,31,0.3875
Cathar Commando,15,11,0.7333333333333333
Cavern of Souls,1574,724,0.4599745870393901
Caves of Koilos,308,84,0.2727272727272727
"Cecil, Dark Knight",425,190,0.4470588235294118
Chainsaw,24,4,0.16666666666666666
Change the Equation,8,3,0.375
Coati Scavenger,70,40,0.5714285714285714
Commercial District,32,20,0.625
Concealed Courtyard,324,84,0.25925925925925924
Conduit Pylons,16,6,0.375
Confounding Riddle,364,177,0.48626373626373626
Copperline Gorge,458,179,0.39082969432314413
Cori Mountain Monastery,83,43,0.5180722891566265
Cori-Steel Cutter,6604,3092,0.46820109024833434
Cruelclaw's Heist,131,23,0.17557251908396945
Curious Forager,7,3,0.42857142857142855
Cut Down,814,327,0.40171990171990174
Dark Confidant,317,129,0.4069400630914827
Darkslick Shores,512,232,0.453125
Day of Judgment,206,100,0.4854368932038835
Deep-Cavern Bat,441,189,0.42857142857142855
Demolition Field,150,68,0.4533333333333333
Demon Wall,33,12,0.36363636363636365
Diamond Weapon,66,30,0.45454545454545453
Dispelling Exhale,171,85,0.49707602339181284
Disruptive Stormbrood,213,108,0.5070422535211268
Disturbing Conversion,118,72,0.6101694915254238
Dragon Sniper,140,80,0.5714285714285714
Drake Hatcher,3605,1724,0.4782246879334258
Drannith Ruins,6,1,0.16666666666666666
Dreams of Laguna,49,33,0.673469387755102
Dreams of Steel and Oil,16,6,0.375
Dredger's Insight,347,161,0.46397694524495675
Duress,672,265,0.3943452380952381
Dusk Rose Reliquary,48,27,0.5625
Eddymurk Crab,100,24,0.24
Elegant Parlor,376,204,0.5425531914893617
"Elenda, Saint of Dusk",32,0,0.0
Elspeth's Smite,113,46,0.40707964601769914
"Elspeth, Storm Slayer",23,6,0.2608695652173913
Elusive Otter,142,56,0.39436619718309857
Emberheart Challenger,1910,946,0.4952879581151832
Enduring Curiosity,379,182,0.48021108179419525
Enduring Innocence,30,8,0.26666666666666666
Ephara's Dispersal,3193,1526,0.477920450986533
Esper Origins,34,16,0.47058823529411764
"Etali, Primal Conqueror // Etali, Primal Sickness",8,3,0.375
Fabled Passage,693,307,0.443001443001443
Faerie Mastermind,22,11,0.5
Fallaji Archaeologist,1775,797,0.4490140845070423
Fear of Impostors,23,6,0.2608695652173913
Fear of Isolation,16,0,0.0
Fear of Missing Out,504,240,0.47619047619047616
Fiery Annihilation,26,14,0.5384615384615384
Floodfarm Verge,4153,2022,0.4868769564170479
Floodpits Drowner,283,136,0.48056537102473496
Flowerfoot Swordmaster,20,0,0.0
Fomori Vault,6,1,0.16666666666666666
Forest,1136,543,0.4779929577464789
Forsaken Miner,28,8,0.2857142857142857
Founding the Third Path,193,91,0.47150259067357514
Fountainport,228,103,0.4517543859649123
Get Lost,1007,483,0.47964250248262164
Ghost Vacuum,53,27,0.5094339622641509
Gix's Command,93,44,0.4731182795698925
"Gix, Yawgmoth Praetor",62,20,0.3225806451612903
Glacial Dragonhunt,75,37,0.49333333333333335
Glissa Sunslayer,66,30,0.45454545454545453
Gloomlake Verge,480,232,0.48333333333333334
Gnawing Vermin,88,40,0.45454545454545453
Go for the Throat,719,294,0.4089012517385257
Great Arashin City,70,40,0.5714285714285714
Guardian of New Benalia,56,32,0.5714285714285714
Harvester of Misery,52,23,0.4423076923076923
Haywire Mite,462,232,0.5021645021645021
Heartfire Hero,1944,960,0.49382716049382713
Hedge Maze,490,215,0.4387755102040816
Helping Hand,102,52,0.5098039215686274
Herd Heirloom,64,36,0.5625
Heritage Reclamation,28,0,0.0
High Noon,550,263,0.4781818181818182
Hired Claw,1888,936,0.4957627118644068
Hollow Marauder,44,20,0.45454545454545453
Hopeless Nightmare,232,76,0.3275862068965517
Horned Loch-Whale,76,30,0.39473684210526316
Hushwood Verge,608,288,0.47368421052631576
Huskburster Swarm,88,40,0.45454545454545453
Idyllic Beachfront,45,33,0.7333333333333333
Infestation Sage,28,8,0.2857142857142857
Insidious Roots,600,284,0.47333333333333333
Inspiring Vantage,262,106,0.40458015267175573
"Inti, Seneschal of the Sun",21,8,0.38095238095238093
Intimidation Tactics,37,13,0.35135135135135137
Into the Flood Maw,5203,2469,0.47453392273688255
Invasion of Gobakhan,16,9,0.5625
Island,14442,6801,0.47091815538014126
"Jace, the Perfected Mind",141,58,0.41134751773049644
"Joshua, Phoenix's Dominant",88,47,0.5340909090909091
"Kaito, Bane of Nightmares",257,121,0.4708171206225681
Karplusan Forest,391,162,0.4143222506393862
Keen-Eyed Curator,276,120,0.43478260869565216
"Kellan, Daring Traveler",16,9,0.5625
Kutzil's Flanker,94,47,0.5
Lay Down Arms,45,33,0.7333333333333333
Leyline Binding,552,258,0.4673913043478261
Lightning Helix,316,146,0.4620253164556962
Lightning Strike,55,25,0.45454545454545453
Liliana of the Veil,13,6,0.46153846153846156
Lively Dirge,21,6,0.2857142857142857
Llanowar Elves,484,212,0.4380165289256198
Llanowar Wastes,764,352,0.4607329842931937
Loran of the Third Path,23,9,0.391304347826087
Lush Portico,632,296,0.46835443037974683
"Mabel, Heir to Cragflame",18,2,0.1111111111111111
Maelstrom Pulse,27,11,0.4074074074074074
Magebane Lizard,1059,541,0.5108593012275732
Manifold Mouse,1888,936,0.4957627118644068
Marang River Regent,3550,1721,0.4847887323943662
Marauding Mako,148,80,0.5405405405405406
Meticulous Archive,3683,1801,0.4890035297311974
Mistrise Village,36,16,0.4444444444444444
Molt Tender,600,284,0.47333333333333333
Molten Collapse,30,14,0.4666666666666667
Moment of Truth,417,215,0.5155875299760192
Momentum Breaker,157,51,0.3248407643312102
Monastery Swiftspear,2955,1436,0.4859560067681895
Monstrous Rage,6334,3057,0.48263340700978846
Monument to Endurance,56,32,0.5714285714285714
Mountain,11720,5767,0.49206484641638226
Negate,180,96,0.5333333333333333
No More Lies,478,260,0.5439330543933054
Not on My Watch,24,12,0.5
Novice Inspector,64,36,0.5625
Nowhere to Run,224,74,0.33035714285714285
Nurturing Pixie,232,76,0.3275862068965517
Obliterating Bolt,12,2,0.16666666666666666
Omniscience,3236,1568,0.484548825710754
Omnivorous Flytrap,16,4,0.25
Opera Love Song,586,295,0.5034129692832765
Opt,6576,3088,0.46958637469586373
Optimistic Scavenger,32,0,0.0
Oracle of Tragedy,1099,503,0.45768880800727935
Osteomancer Adept,236,120,0.5084745762711864
Overlord of the Balemurk,752,348,0.4627659574468085
Overlord of the Boilerbilges,60,32,0.5333333333333333
Overlord of the Floodpits,1462,749,0.512311901504788
Overlord of the Hauntwoods,568,264,0.4647887323943662
Overlord of the Mistmoors,567,259,0.4567901234567901
Overprotect,68,34,0.5
Overwhelming Remorse,88,40,0.45454545454545453
Patchwork Beastie,120,52,0.43333333333333335
Perilous Snare,12,2,0.16666666666666666
Pest Control,32,0,0.0
Phantom Interference,45,22,0.4888888888888889
Phoenix Down,16,9,0.5625
Phyrexian Dragon Engine,56,32,0.5714285714285714
Plains,3996,1934,0.48398398398398396
Preacher of the Schism,823,339,0.41190765492102066
Proft's Eidetic Memory,204,104,0.5098039215686274
Prophetic Prism,24,4,0.16666666666666666
Pyroclasm,15,8,0.5333333333333333
Qarsi Revenant,89,33,0.3707865168539326
Questing Druid,45,7,0.15555555555555556
Raucous Theater,46,14,0.30434782608695654
Razorverge Thicket,254,141,0.5551181102362205
Rebel Salvo,8,2,0.25
Recommission,56,32,0.5714285714285714
Rediscover the Way,106,54,0.5094339622641509
Refute,47,21,0.44680851063829785
Regal Bunnicorn,64,36,0.5625
Repurposing Bay,24,4,0.16666666666666666
Restless Anchorage,166,58,0.3493975903614458
Restless Bivouac,18,2,0.1111111111111111
Restless Cottage,85,35,0.4117647058823529
Restless Fortress,77,29,0.37662337662337664
Restless Prairie,32,18,0.5625
Restless Reef,197,91,0.4619289340101523
Ride's End,321,147,0.45794392523364486
Riverpyre Verge,6855,3229,0.4710430342815463
Roaring Furnace // Steaming Sauna,1220,549,0.45
Rockface Village,1884,940,0.4989384288747346
Roiling Dragonstorm,3368,1636,0.4857482185273159
Rubblebelt Maverick,532,235,0.4417293233082707
Scavenging Ooze,164,88,0.5365853658536586
Scorching Shot,49,29,0.5918367346938775
Scrapshooter,124,64,0.5161290322580645
Scrapwork Mutt,28,16,0.5714285714285714
Screaming Nemesis,1922,946,0.4921956295525494
Scrollshift,2019,960,0.475482912332838
Seachrome Coast,2023,976,0.4824518042511122
Seed of Hope,172,60,0.3488372093023256
Self-Destruct,247,108,0.43724696356275305
Sentinel of the Nameless City,82,42,0.5121951219512195
"Sephiroth, Fabled SOLDIER",28,8,0.2857142857142857
Shadowy Backstreet,315,142,0.4507936507936508
Shardmage's Rescue,8,2,0.25
Sheltered by Ghosts,125,41,0.328
Sheoldred's Edict,22,6,0.2727272727272727
"Sheoldred, the Apocalypse",287,117,0.4076655052264808
"Shiko, Paragon of the Way",212,108,0.5094339622641509
Shivan Reef,6766,3177,0.46955365060597104
Shock,12,2,0.16666666666666666
Shoot the Sheriff,7,1,0.14285714285714285
Sidequest: Play Blitzball,16,8,0.5
Simulacrum Synthesizer,24,4,0.16666666666666666
Sleight of Hand,6508,3058,0.46988322065150584
Slickshot Show-Off,144,81,0.5625
Soul Partition,252,154,0.6111111111111112
Soul-Guide Lantern,84,43,0.5119047619047619
Souls of the Lost,66,30,0.45454545454545453
Soulstone Sanctuary,1462,692,0.47332421340629277
Spell Pierce,2071,994,0.47996137131820377
Spell Stutter,30,18,0.6
Spirebluff Canal,6780,3180,0.4690265486725664
Split Up,293,108,0.36860068259385664
Spyglass Siren,266,121,0.4548872180451128
Starting Town,383,125,0.3263707571801567
Steamcore Scholar,60,28,0.4666666666666667
Stock Up,7730,3634,0.47011642949547217
Stormchaser's Talent,6696,3096,0.46236559139784944
Sulfurous Springs,120,44,0.36666666666666664
Summon: Brynhildr,28,6,0.21428571428571427
Summon: Fenrir,64,24,0.375
Summon: Knights of Round,19,6,0.3157894736842105
Sunbillow Verge,303,147,0.48514851485148514
Sunken Citadel,4,0,0.0
Sunpearl Kirin,232,76,0.3275862068965517
Swallowed by Leviathan,8,0,0.0
Swamp,1914,742,0.3876698014629049
Tear Asunder,19,5,0.2631578947368421
Teething Wurmlet,64,36,0.5625
Temporary Lockdown,3744,1814,0.484508547008547
"Terra, Magical Adept",344,130,0.37790697674418605
